REId,name_short,E2_2in,E1_1in,phi_input
REL00001,Ale El,0.6777534,0.67043176,-0.007321639999999907
REL00003,Almnäs Bruk,1.0,1.0,0.0
REL00004,Alvesta Elnät,0.7118901,0.74379453,0.031904429999999984
REL00005,Arvika Teknik,0.770253,0.76924433,-0.0010086699999999338
REL00007,Bengtsfors Energi,0.71212849,0.70698654,-0.005141949999999951
REL00008,Bergs Tingslags,0.65598244,0.86943244,0.21344999999999992
REL00010,Bjäre Kraft,0.72696282,0.7231638,-0.0037990199999999863
REL00011,Bjärke Energi,0.62103286,0.62024443,-0.0007884300000000621
REL00012,Upplands Energi,0.75806256,0.75655021,-0.0015123500000000512
REL00014,Blåsjön Nät,0.87089561,0.77088522,-0.10001039
REL00015,Bodens Energi,1.0,1.0,0.0
REL00016,Boo Energi,1.0,1.0,0.0
REL00017,Borgholm Energi,0.77157811,0.76749033,-0.004087779999999985
REL00018,Borlänge Energi,0.99247418,0.81193799,-0.18053618999999999
REL00019,Borås Elnät,0.97932725,0.82871639,-0.15061086
REL00021,Bromölla Energi,0.84451945,0.85268789,0.008168440000000055
REL00023,C4 Elnät,1.0,1.0,0.0
REL00024,Carlfors Bruk,,,
REL00025,Degerfors Energi,0.8511381,0.8424789,-0.008659199999999978
REL00029,Övertorneå Energi,0.99360395,0.97945169,-0.014152260000000028
REL00030,Eksjö Elnät,1.0,1.0,0.0
REL00031,Emmaboda Elnät,0.89469229,0.79329013,-0.10140215999999991
REL00033,Halmstads Energi,1.0,1.0,0.0
REL00035,Eskilstuna Energi,1.0,0.92860836,-0.07139163999999998
REL00037,Falbygdens Energi,0.68793001,0.66839108,-0.019538929999999954
REL00038,Falkenberg Energi,0.91921724,0.9255492,0.006331959999999914
REL00040,Filipstad Energi,0.66934388,0.64178228,-0.027561599999999964
REL00043,Gislaved Energi,1.0,0.98115748,-0.018842519999999974
REL00049,Grästorps Energi,0.9239045,0.75091375,-0.17299074999999997
REL00062,Göteborg Energi,1.0,1.0,0.0
REL00064,Habo Kraft,0.7070427,0.7059784,-0.001064300000000018
REL00067,Hallstaviks Elverk,1.0,1.0,0.0
REL00072,Herrljunga Elektriska,0.96788731,0.96396353,-0.003923779999999932
REL00074,Hjärtums Elförening,0.83781333,0.82323706,-0.014576270000000058
REL00075,Hofors Elverk,0.91904768,0.91615266,-0.0028950200000000814
REL00077,Härnösand Elnät,0.75566681,0.75440886,-0.0012579500000000632
REL00078,Härryda Energi,0.60886158,0.60780796,-0.0010536199999999774
REL00080,Höganäs Energi,0.85834444,0.84944753,-0.008896910000000036
REL00083,Jukkasjärvi,0.75485556,0.65788781,-0.09696775000000002
REL00085,Jämtkraft,0.67684849,0.71944121,0.04259272000000003
REL00086,Jönköping Energi,0.94983418,0.85598817,-0.09384600999999992
REL00087,Kalmar Energi,0.97441837,0.97408968,-0.00032869000000002035
REL00090,Karlskoga Elnät,0.7836533,0.7893204,0.005667100000000036
REL00091,Affärsverken Karlskrona,0.70296276,0.70167721,-0.0012855499999999687
REL00092,Karlstads Elnät,0.87188246,0.85089396,-0.020988500000000077
REL00093,Tekniska verken Katrineholm,0.98348635,0.96853296,-0.014953389999999955
REL00098,Kristinehamns Elnät,0.70898639,0.69610469,-0.012881699999999996
REL00100,Kungälv Energi,0.82285426,0.81744333,-0.005410929999999925
REL00103,Landskrona Energi,1.0,0.97537926,-0.02462074000000003
REL00106,Lerum Energi,0.80366659,0.79311424,-0.010552349999999988
REL00111,Tekniska verken Linköping,1.0,1.0,0.0
REL00112,Ljungby Energi,1.0,1.0,0.0
REL00113,Ljusdal Elnät,0.77965989,0.76744209,-0.012217800000000056
REL00118,Luleå Energi,0.89872004,0.88851655,-0.010203490000000093
REL00121,LEVA i Lysekil,0.8755696,0.869822,-0.005747599999999964
REL00123,Malung-Sälens Elnät,0.77725186,0.84598664,0.06873478
REL00126,Mellersta Skånes Kraft,0.67772757,0.67775657,2.9000000000056758e-05
REL00127,Mjölby Kraft,0.68761921,0.68663523,-0.0009839799999999954
REL00128,Mölndal Energi,1.0,1.0,0.0
REL00130,Nacka Energi,0.70115237,0.70672976,0.005577390000000015
REL00133,Norrtälje Energi,0.83746348,0.82004742,-0.017416060000000066
REL00135,Nossebroortens Energi,0.94439721,0.8198757,-0.12452151
REL00137,Nybro Elnät,0.86878456,0.80263348,-0.06615108000000003
REL00139,Näckåns Elnät,0.77538064,0.83553072,0.060150079999999995
REL00141,Nässjö Affärsverk,1.0,1.0,0.0
REL00143,Olofströms Kraft,1.0,0.91325149,-0.08674850999999995
REL00144,Olseröds El,0.68516975,0.62717687,-0.057992880000000024
REL00146,Oskarshamn Energi,0.96896821,0.9652467,-0.0037215099999999834
REL00147,Oxelö Energi,1.0,1.0,0.0
REL00148,Partille Energi,0.80785974,0.80452797,-0.003331770000000067
REL00149,PiteEnergi,0.97763682,0.97680743,-0.0008293899999999299
REL00152,Ronneby Miljöteknik,0.71475766,0.71485033,9.26700000000169e-05
REL00156,Rödeby Elverk,0.66580907,0.64459858,-0.02121048999999997
REL00157,Sala-Heby Energi,0.9467025,0.94129326,-0.005409239999999982
REL00158,Sandhult-Sandared,1.0,1.0,0.0
REL00160,SEVAB,0.75140362,0.72276363,-0.02863999000000006
REL00163,Sjogerstads El,0.7238676,0.72199815,-0.0018694500000000502
REL00164,Sjöbo Elnät,0.78669484,0.77588094,-0.010813900000000043
REL00167,Skurups Elverk,0.98650801,0.92789108,-0.05861693000000001
REL00168,Skyllbergs Bruk,0.86649804,0.85962187,-0.006876169999999959
REL00169,Skånska Energi,0.93546471,0.91462011,-0.02084459999999999
REL00170,Skövde Energi,1.0,0.96888083,-0.031119169999999974
REL00171,Smedjebacken Energi,0.92037762,0.91841626,-0.001961360000000023
REL00173,Sollentuna Energi,0.9808451,0.98143702,0.000591919999999968
REL00175,Staffanstorps Energi,0.78120384,0.72982287,-0.05138096999999997
REL00177,Sturefors El,0.88678083,1.0,0.11321917000000004
REL00178,Sundsvall Elnät,0.78576638,0.77080442,-0.01496195999999994
REL00182,Njudung Sävsjö,0.93137355,0.91292649,-0.01844705999999996
REL00183,Söderhamn Elnät,0.82231184,0.81452617,-0.007785669999999967
